status,product_area,response,justification,request_type
escalated,workspace_admin,This request requires review by a human support specialist. Please contact your workspace/account admin or official support to restore access.,Escalated because: auth_boundary: access requested by non-owner/admin. Human review required.,product_issue
escalated,assessments,This request requires review by a human support specialist. We can't change test scores or reverse hiring/recruiter decisions via automated support.,Escalated because: policy: score/decision change request is not allowed. Human review required.,product_issue
escalated,dispute_resolution,"This request requires review by a human support specialist.
Please contact visa support directly for assistance with this issue.","Escalated because: sensitive_financial: user demands refund, chargeback, or merchant action requiring human review. Human review required.",product_issue
escalated,billing,"This request requires review by a human support specialist.
Please contact hackerrank support directly for assistance with this issue.",Escalated because: sensitive: topic with no supporting documentation found. Human review required.,product_issue
replied,billing,"The provided documentation does not cover issues with payments or refunds. If you are having trouble with your payment, I recommend contacting the HackerRank support team directly for assistance with your order ID csliveabcdefgh. They will be able to help you with your specific issue.","Responded based on corpus sources: 4255542979-manage-subscriptions.md, 4312449655-upgrade-subscription-plan.md, 5934100296-smartrecruiters---hackerrank-integration-configuration-guide.md. Classified as product_issue under billing.",product_issue
replied,general_support,"The provided documentation does not cover the infosec process for your company or filling in forms for using HackerRank for hiring. The available information focuses on the features of HackerRank, setting up QuickApply, onboarding candidates, integrations overview, and introduction to HackerRank interviews. For assistance with the infosec process and forms, I recommend contacting the HackerRank support team directly for more information and guidance.","Responded based on corpus sources: 9248897371-quick-start-guide-for-recruiters.md, 7358354033-set-up-quick-apply.md, 9695299159-onboarding-candidates.md. Classified as feature_request under general_support.",feature_request
replied,candidates,"The provided documentation does not cover the issue of not being able to see the apply tab or submissions not working. The available documentation mainly focuses on inviting candidates to tests, creating custom certifications, and using the Certify tab. Since the documentation does not address the user's issue, I recommend contacting the HackerRank support team directly for assistance with this problem.","Responded based on corpus sources: 7127221409-sending-bulk-email-invites-to-a-test.md, 2960935422-get-started-with-certify.md, 7100809601-zapier-hackerrank-integration-test-user-guide.md. Classified as product_issue under candidates.",product_issue
escalated,assessments,This request requires review by a human support specialist. It may relate to a broader service outage and needs human triage.,Escalated because: outage: possible widespread outage; needs human triage. Human review required.,product_issue
replied,assessments,"The documentation suggests that you should review the system compatibility and permissions to ensure all requirements are met before starting the test. Since you've mentioned that all criteria are matching except for Zoom connectivity, I recommend checking the compatibility of your system with Zoom. You can try reviewing the results of the compatibility check to confirm that all parameters are configured correctly. If you're still encountering issues, you can contact support@hackerrank.com and include a screenshot of the error message for further assistance.","Responded based on corpus sources: 5663779659-proctor-mode.md, 6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md, 9788355678-obtain-skill-based-certifications.md. Classified as product_issue under assessments.",product_issue
replied,assessments,"The provided documentation does not cover the process for rescheduling a company's HackerRank assessment due to unforeseen circumstances. To request a rescheduling of your company's HackerRank assessment, I recommend contacting the support team directly at support@hackerrank.com for assistance. They will be able to provide you with the necessary guidance and support to reschedule the assessment.","Responded based on corpus sources: 2086891729-hackerrank-maintenance-window-notification.md, 8941367927-certifications-faqs.md, 2480863637-hackerrank-interview-and-outlook-calendar-integration.md. Classified as product_issue under assessments.",product_issue
replied,candidates,The provided documentation does not mention inactivity times or settings for candidate and interviewer sessions. It also does not explain why a candidate might be sent back to the HR lobby after a certain period of inactivity. The information you are looking for is not available in the provided documentation. I recommend contacting the HackerRank support team directly for assistance with this issue.,"Responded based on corpus sources: 6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md, 1151935613-using-virtual-lobby-in-hackerrank-interviews.md, 1263202297-observation-mode-in-interviews.md. Classified as feature_request under candidates.",feature_request
escalated,out_of_scope,This request requires human review because there isn't enough information to troubleshoot safely. Please contact support with details like exact error messages and steps to reproduce.,Escalated because: vague: insufficient details and no documentation match. Human review required.,invalid
replied,interview,"The provided documentation does not cover the process of removing an interviewer from the platform. The available information only discusses removing user access from an interview template, deleting interviews, and deleting interview questions. To remove an interviewer, I recommend contacting the HackerRank support team directly for assistance, as this information is not available in the provided documentation.","Responded based on corpus sources: 2837093779-standardizing-interviews-using-templates.md, 6488043690-canceling-an-interview.md, 5520105382-deleting-interview-questions.md. Classified as product_issue under interview.",product_issue
replied,billing,"To pause your subscription, you must have an active subscription that started at least 30 days ago and have a monthly subscription for either the Individual Monthly - Basic or Interview Monthly plan. If you meet these conditions, you can pause your subscription by following these steps: 

Access Subscription Settings by clicking on the profile icon in the top-right corner of the page and selecting Settings from the dropdown menu, then navigate to the Billing section under Subscription.
Initiate Pause Subscription by clicking the Cancel Plan button, which will display a prompt about the new Pause Subscription feature.
Select the desired pause duration, with a minimum of 1 month and a maximum of 12 months.

If you are unsure about your eligibility or have questions about the pause subscription process, I recommend contacting the support team directly for assistance.","Responded based on corpus sources: 5157311476-pause-subscription.md, 5179178131-zapier-hackerrank-integration-interview-user-guide.md. Classified as product_issue under billing.",product_issue
escalated,general_support,This request requires review by a human support specialist. It may relate to a broader service outage and needs human triage.,Escalated because: outage: possible widespread outage; needs human triage. Human review required.,product_issue
escalated,fraud_security,"This request requires review by a human support specialist.
Please contact visa support directly for assistance with this issue.",Escalated because: sensitive_financial: identity theft report requires human review. Human review required.,product_issue
replied,candidates,The provided documentation does not mention what to do if the Resume Builder is down. The information on troubleshooting or resolving issues with the Resume Builder is not available in the given documentation. I recommend contacting the HackerRank support team directly for assistance with this issue.,"Responded based on corpus sources: 9106957203-create-a-resume-with-resume-builder.md, 8404005945-creating-an-interview.md, 1189675016-october-2024-release-notes.md. Classified as bug under candidates.",bug
replied,assessments,"To update the name on your certificate, you can follow these steps: 
Open your certificate page.
In the Full Name field, enter the name you want to display.
Click Regenerate Certificate.
In the confirmation dialog, click Update Name.
The platform updates your certificate with the new name. Please note that you can only update the name on your certificate once per account, and the change applies to all your certificates.","Responded based on corpus sources: 8941367927-certifications-faqs.md, 9788355678-obtain-skill-based-certifications.md, 9232804257-create-custom-certifications.md. Classified as product_issue under assessments.",product_issue
replied,dispute_resolution,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card. They will require detailed information regarding the transaction before resolving the disputed charge. You can find more information on the dispute resolution process by downloading the dispute guidelines from the Visa website. If you need further assistance, you can also visit your issuer or bank's website for more information.","Responded based on corpus sources: dispute-resolution.md, support.md, travel-support.md. Classified as product_issue under dispute_resolution.",product_issue
replied,security,"The documentation provided does not cover the process for reporting a major security vulnerability in Claude. However, it does mention a Model Safety Bug Bounty Program in one of the related articles. You can try visiting the article on the Model Safety Bug Bounty Program to see if it provides any information on how to report a security vulnerability. If not, I recommend contacting the Claude support team directly for guidance on the next steps to take.","Responded based on corpus sources: 14661296-claude-security.md, 11932705-automated-security-reviews-in-claude-code.md, 14604842-real-time-cyber-safeguards-on-claude.md. Classified as bug under security.",bug
replied,privacy,"To stop Claude from crawling your website, you can add the following to your robots.txt file in your top-level directory: 

User-agent: ClaudeBot
Disallow: /

This will prevent Claude's crawler from accessing your website. Please note that you need to do this for every subdomain you wish to opt out from. If you have further questions or concerns, you can reach out to claudebot@anthropic.com.","Responded based on corpus sources: 7996906-reporting-blocking-and-removing-content-from-claude.md, 8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md, 10684626-enabling-and-using-web-search.md. Classified as product_issue under privacy.",product_issue
escalated,card_management,"This request requires review by a human support specialist.
Please contact visa support directly for assistance with this issue.",Escalated because: sensitive_financial: urgent cash request needs human review. Human review required.,product_issue
replied,privacy,"The documentation does not provide a direct answer to how long your data will be used for after you allow Claude to use it to improve the models. However, according to the Development Partner Program information, if you are part of this program, your data will be stored securely for up to two years. If you are not part of this program, the information on data storage duration is not available in the provided documentation. I recommend contacting the support team directly for more information on how your data will be used and stored.","Responded based on corpus sources: 8114494-how-up-to-date-is-claude-s-training-data.md, 13694757-claude-enterprise-analytics-api-access-engagement-and-adoption-data.md, 13892150-work-across-excel-powerpoint-and-word.md. Classified as product_issue under privacy.",product_issue
